RMSE of SPM,RMSE of baseLine
10.4243305141,10.4243305141
No,ActualPM25Data,Sequential Pattern Mining Prediction,BaseLine Prediction
0,30,30,30
1,30,30,30
2,30,30,30
3,30,30,30
4,34,34,34
5,34,34,34
6,34,34,34
7,39,39,39
8,39,39,39
9,39,39,39
10,49,49,49
11,49,49,49
12,49,49,49
13,49,49,49
14,49,49,49
15,49,49,49
16,58,58,58
17,58,58,58
18,91,91,91
19,46,46,46
20,40,40,40
21,42,42,42
22,42,42,42
23,42,42,42
24,42,42,42
25,42,42,42
26,42,42,42
27,49,49,49
28,86,86,86
29,102,102,102
30,102,102,102
31,59,59,59
32,62,62,62
33,62,62,62
34,49,49,49
35,49,49,49
36,49,49,49
37,49,49,49
38,57,57,57
39,57,57,57
40,37,37,37
41,37,37,37
42,37,37,37
43,37,37,37
44,37,37,37
45,37,37,37
46,37,37,37
47,37,37,37
48,30,30,30
49,30,30,30
50,35,35,35
51,35,35,35
52,35,35,35
53,44,44,44
54,44,44,44
55,61,61,61
56,99,99,99
57,99,99,99
58,99,99,99
59,99,99,99
60,99,99,99
61,99,99,99
62,99,99,99
63,99,99,99
64,99,99,99
65,99,99,99
66,62,62,62
67,62,62,62
68,62,62,62
69,58,58,58
70,106,106,106
71,38,38,38
72,59,59,59
73,59,59,59
74,75,75,75
75,63,63,63
76,55,55,55
77,53,53,53
78,53,53,53
79,53,53,53
80,39,39,39
81,39,39,39
82,35,35,35
83,40,40,40
84,46,46,46
85,46,46,46
86,46,46,46
87,46,46,46
88,46,46,46
89,46,46,46
90,46,46,46
91,46,46,46
92,68,68,68
93,112,112,112
94,159,159,159
95,159,159,159
96,45,45,45
97,45,45,45
98,68,68,68
99,47,47,47
100,47,47,47
101,47,47,47
102,47,47,47
103,47,47,47
104,47,47,47
105,103,103,103
106,141,141,141
107,141,141,141
108,203,203,203
109,129,129,129
110,129,129,129
111,72,72,72
112,72,72,72
113,335,335,335
114,80,80,80
115,80,80,80
116,80,80,80
117,46,46,46
118,46,46,46
119,46,46,46
120,74,74,74
121,74,74,74
122,74,74,74
123,74,74,74
124,74,74,74
125,74,74,74
126,37,37,37
127,36,36,36
128,48,48,48
129,39,39,39
130,50,50,50
131,50,50,50
132,50,50,50
133,50,50,50
134,32,32,32
135,33,33,33
136,32,32,32
137,32,32,32
138,32,32,32
139,32,32,32
140,32,32,32
141,32,32,32
142,32,32,32
143,32,32,32
144,32,32,32
145,32,32,32
146,32,32,32
147,32,32,32
148,32,32,32
149,33,33,33
150,33,33,33
151,33,33,33
152,33,33,33
153,33,33,33
154,33,33,33
155,33,33,33
156,33,33,33
157,33,33,33
158,33,33,33
159,33,33,33
160,33,33,33
161,33,33,33
162,33,33,33
163,33,33,33
164,33,33,33
165,33,33,33
166,32,32,32
167,32,32,32
168,32,32,32
169,32,32,32
170,31,31,31
171,31,31,31
172,31,31,31
173,30,30,30
174,30,30,30
175,30,30,30
176,30,30,30
177,30,30,30
178,30,30,30
179,30,30,30
180,30,30,30
181,30,30,30
182,31,31,31
183,30,30,30
184,30,30,30
185,30,30,30
186,31,31,31
187,31,31,31
188,31,31,31
189,34,34,34
190,34,34,34
191,36,36,36
192,36,36,36
193,36,36,36
194,34,34,34
195,34,34,34
196,34,34,34
197,34,34,34
198,37,37,37
199,37,37,37
200,37,37,37
201,37,37,37
202,37,37,37
203,37,37,37
204,37,37,37
205,37,37,37
206,42,42,42
207,41,41,41
208,40,40,40
209,40,40,40
210,39,39,39
211,39,39,39
212,40,40,40
213,41,41,41
214,41,41,41
215,41,41,41
216,43,43,43
217,43,43,43
218,43,43,43
219,48,48,48
220,48,48,48
221,63,63,63
222,63,63,63
223,63,63,63
224,63,63,63
225,63,63,63
226,63,63,63
227,63,63,63
228,68,68,68
229,68,68,68
230,68,68,68
231,68,68,68
232,68,68,68
233,41,68,68
234,41,41,41
235,56,41,41
236,56,56,56
237,56,56,56
238,51,56,56
239,50,51,51
240,68,50,50
241,68,68,68
242,68,68,68
